timestamp,cpu_percent,mem_used_gb,mem_available_gb,disk_read_mb,disk_write_mb,gpu_util_percent,gpu_mem_used_gb,gpu_mem_total_gb
2026-05-08T14:52:30.524861,2.4,10.94,19.55,236697.65,495900.29,18,1.79,8.0
2026-05-08T14:53:31.527647,2.3,10.9,19.6,236698.18,495910.35,5,1.84,8.0
2026-05-08T14:54:44.985898,2.1,11.3,19.2,236698.32,495931.3,11,1.82,8.0
2026-05-08T14:55:45.988675,3.6,10.9,19.6,236733.32,495954.99,23,1.82,8.0
2026-05-08T14:56:46.990606,4.3,11.18,19.32,236734.07,495979.92,17,1.83,8.0
2026-05-08T14:57:47.992400,1.4,11.1,19.4,236734.72,495995.47,17,1.8,8.0
2026-05-08T14:58:48.994318,2.4,10.78,19.72,236737.24,496020.02,10,1.9,8.0
2026-05-08T14:59:49.996303,3.8,10.87,19.62,236737.67,496036.81,16,1.9,8.0
2026-05-08T15:00:50.998561,3.2,10.99,19.51,236757.3,496052.36,36,1.78,8.0
2026-05-08T15:01:52.000960,2.2,11.09,19.41,236757.95,496066.73,12,1.78,8.0
2026-05-08T15:02:53.002823,2.2,11.38,19.12,236796.99,496095.42,28,1.81,8.0
2026-05-08T15:03:54.004963,9.1,10.97,19.53,236799.98,496116.55,15,1.75,8.0
2026-05-08T15:04:55.006648,1.8,10.89,19.6,236802.58,496131.59,13,1.79,8.0
2026-05-08T15:05:56.008500,1.7,10.94,19.56,236802.61,496144.61,12,1.77,8.0
2026-05-08T15:06:57.010700,1.5,10.95,19.55,236802.76,496173.31,14,1.77,8.0
2026-05-08T15:07:58.012464,1.7,10.79,19.7,236802.83,496188.04,8,1.79,8.0
2026-05-08T15:08:59.014900,2.6,10.91,19.59,236825.78,496216.11,23,1.81,8.0
2026-05-08T15:10:00.017218,7.3,10.8,19.69,236826.84,496233.27,44,1.78,8.0
2026-05-08T15:11:01.018889,5.0,10.44,20.05,236827.51,496260.62,42,1.81,8.0
